INDICATOR_TYPE,TRIP_VOLUME,,
PICKUP_AREA,Capital Regional District,,
,,,
Sum of INDICATOR_VALUE,Column Labels,,
Row Labels,TAXI,TNS,Grand Total
2023,1873840,254011,2127851
1,156245,736,156981
2,130271,461,130732
3,164747,488,165235
4,170304,212,170516
5,172911,115,173026
6,157450,14537,171987
7,167294,25631,192925
8,159304,31136,190440
9,156750,41122,197872
10,153615,44438,198053
11,136818,42702,179520
12,148131,52433,200564
2024,1483530,957740,2441270
1,137280,50612,187892
2,125561,51528,177089
3,138672,66554,205226
4,134417,69346,203763
5,127312,78963,206275
6,123983,88294,212277
7,120313,89020,209333
8,119108,98514,217622
9,124128,96403,220531
10,114606,92378,206984
11,104325,84424,188749
12,113825,91704,205529
2025,1102278,848056,1950334
1,136062,88992,225054
2,152231,85834,238065
3,172561,100210,272771
4,127074,92596,219670
5,128106,108496,236602
6,129072,120960,250032
7,128238,123497,251735
8,128934,127471,256405
Grand Total,4459648,2059807,6519455
